Shop code,Business name,Address,Labels,Overall rating,Total searches,Direct searches,Discovery searches,Total views,Search views,Maps views,Total actions,Website actions,Directions actions,Phone call actions
,,,,Overall rating of this listing as of the date the report was generated,Number of times customers found this listing by searching on Google Search or Maps,Number of times customers found this listing by searching for the business name or address on Google Search or Maps,"Number of times customers found this listing by searching for the category, product or service on Google Search or Maps",Number of times this listing has been viewed on Google Search or Maps,Number of times this listing has been viewed on Google Search,Number of times this listing has been viewed on Google Maps,Number of times customers have taken action on this listing on Google Search or Maps,Number of times customers have visited the website from this listing,Number of times customers have requested directions from this listing,Number of times customers have called the business from this listing
,Silchester Players,"Silchester Village Hall, The Common, Silchester RG7 2NE",,4.9,6844,1662,5182,9205,4129,5076,457,443,5,9
